Timestamp,For how many years have you played Counter-Strike,How many hours have you played the game,What is your premier elo?,Have you ever deployed external software in order to enhance your gaming abilities?,What was the name of this software,How much did the software cost in EUR?,What did the software do?,How was your experience using this software,Would you categorise the use of the software as cheating?,Please give further reasoning for the answer to the previous question,Do you have any comments you want to share regarding the use of skill enhancing software?,Have you experienced cheaters in Counter-Strike 2,Do you believe that there is a problem with cheaters in CS2,Have you ever watched a demo because you were suspicious of a player potentially cheating?,How often do you experience playing in a match with a cheater?,"On a scale from 0 to 5, how big of a problem do you believe cheating is in Counter-Strike 2",Why do you believe that cheating is a problem?,Why do you believe that cheaters are not a problem?,Did you have access and make use of the overwatch feature when the feature was active,Do you think overwatch improved Counter-Strike,Did you feel like you aided the community when reviewing overwatch cases,Is there something else you want to remark regarding overwatch,What do you look for when determining whether a player is cheating or not?,Can you in more detail describe how you determine whether a player is cheating or not.,Do you have any comments for us?
2025/04/16 1:19:11 pm EET,10.0,900,20500.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Very difficult to ban cheaters without extremely infiltrative anti-cheat OR letting people know what your anti-cheat is based on (So cheat makers can get ahead),,I can't remember,,,,,,
2025/04/16 1:22:15 pm EET,3.0,1500,13500.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,Becouse vac is not working and allow to use for free any not obviusly cheat,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 1:24:13 pm EET,4.0,650,0.0,Yes,Dont remember,0.0,Aim hack;Trigger hack;Wall hack,"Short fun, perma banned at 13 ",Yes,"Aimbot, Triggerbot, Wallhack, Radar hack is cheating",If your older than 13 and do this get a life,Yes,Yes,Yes,Occasionally,3,"Easy of entry and good trust factor players, the ones with experience, experience way less and down play the problem, new non prime and Prime players will have a bad time and get tons of bad lobbies. Also „passive“ anti cheat (have never seen any game beeing stopped). Obvious wall hack is just invisible to it",,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 1:35:24 pm EET,20.0,3000,8000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,"Mistrust between players, demotivation.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,Predictive playstyle;Unnatural crossair movement,,
2025/04/16 1:38:13 pm EET,10.0,3000,12000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,People always accuse each other while playing because there is no way in which you can be sure that your opponent isn't cheating,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 1:39:04 pm EET,20.0,8000,20000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Cheaters don't get banned fast enough,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Maybe,obvious spinbots should not be in overwatch,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 1:51:56 pm EET,20.0,2000,9000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Legit players won't want to play if they experience cheaters too often woth seemingly no repercussions.,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,Predictive playstyle;Tracking platers through walls,"I'm not very good, so I try to assume that someone is just much better than me. I review demos to try to learn from them. But when I review I'm also looking out for signs they nay be cheating such as tracking players through walls or uncanny timings. ","I dont think the cheating problem is quite as bad as everyone says, but maybe it's just because I'm low elo. However, even at my elo people are always accusing of hacks. In my experience it's rare to see someone blatantly cheating. But I think people are more likely to accuse because the current anti-cheat doesn't do enough. "
2025/04/16 1:53:16 pm EET,4.0,1200,15583.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,Yes,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 2:01:43 pm EET,15.0,2000,10000.0,Yes,i don't know,0.0,Wall hack,boring,Yes,The software i used made me able to see enemies through walls which is clearly against the rules. ,no,Yes,Yes,Yes,Occasionally,1,"part of the fun is the game to be skilled balanced, skill based and fair. Cheaters break those 3 things.",,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,,"Predictive playstyle;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);ubnormalites in his stats history","First of all, I start with the assumption that the player is not a cheater.
Then, I check their profile, stats, and history. Based on that, I decide how closely I’ll need to watch their gameplay. For example, someone with thousands of hours in their history and consistent performance is probably not a cheater, and if I don’t see anything particularly suspicious in their gameplay, I’ll quickly rule them out.

On the other hand, if it’s a new account—or an old account with many hours but a sudden spike in performance—then I’ll be more suspicious and examine the video much more thoroughly.

Next, I watch the video. There’s a set of skills a player can have:
Crosshair placement, recoil control, movement tracking, flicking when it comes to aiming.
Also, movement in general, game sense, and how they clear angles.
If a player is extremely good at one of these skills but noticeably lacking in the others, I’ll suspect they’re cheating and will look for concrete evidence.
That imbalance between skills isn't proof by itself, but it’s a strong indicator that makes me investigate further.

Concrete signs that someone is cheating include:

They don’t check any other angles except the exact one where the enemy is—repeatedly, not just once.

They’re never surprised by an enemy’s position.

They shoot at enemies faster than what would be possible with normal human reflexes (prefiring).
These are signs of a wallhack.

Their bullets constantly hit the target even when their aim is off and their crosshair placement isn’t right.
That’s a sign of an aimbot.",
2025/04/16 2:03:04 pm EET,22.0,2500,5000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,It ruins the integrity of the game. It ruins the fun of the game. It's a huge waste of time when someone is cheating.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,"the game isn't perfect. there will be cheaters in every game. its part of life. however, for a billion dollar company, i sure wish they figured out a way to fix the cheating problem. ","Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Spidey senses. Some how, these players just know. i believe they are toggling to get the edge. For example, in inferno. I would be hiding in church, say behind the podium. And some how, this person would check that. It's very rare that spot gets check. Benefit of the doubt, I'm calling BS on that. And you would usually suspect someone is cheating when those ""who would check that in that situation"" gets checked. I believe I'm playing in a high trusted status games. i rarely get spin botters or straight blatant hackers, but you know you get suspicious when someone is carrying their team HARD.","When CS2 first came out, we all believe that AI would detect hackers eventually. Hopefully, one day, as this billion dollar company invest in a legit anti-hack. I hope they solve it and not let this game die like TF2. Especially as this game was a staple of my childhood and now that i'm an adult with a decent salary. I ""invested"" a good amount of money on skins and would like to enjoy playing this game knowing that the integrity of the game is solid. Only to wish one day, that dream will come true. As of now, i get discouraged to play as my ELO is suffering. I live in Asia and playing with Chinese players and Russians, i feel more games are suspicious and refuse to play until they fix this problem. Every now and then, when i get the itch, i will play one or two games."
2025/04/16 2:19:18 pm EET,11.0,4500,0.0,Yes,auto knife,0.0,auto knife for black ops 1,I was banned ,Yes,Impossible to perform legit,It was 15 years ago,Yes,Yes,Yes,Often,5,No actual anti cheat,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,Good system,"Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Gamesense, cheaters don't even get what's going on in a good players head",Bak 2 Go
2025/04/16 2:22:42 pm EET,16.0,3000,7000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,It ruins the experience for people like me who like to tryhard,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Maybe,Some cheaters are doing their best to hide evidences. It is not a perfect solution,"Predictive playstyle;Unnatural crossair movement;Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","They are too aware of their surroudings, like running with knife in dangerous area. Also sometimes it is the gap between their mechanical skills and their gamesense / awareness that gives them",Thank you for what you are doing. Wish you the best for your master's thesis !
2025/04/16 2:55:55 pm EET,3.0,1600,12000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,because its unfair for the normal players ,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",check their face it elo and steam profile ,no
2025/04/16 2:57:56 pm EET,21.0,3700,21000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,"Not enough can be done against cheats that are not easily detected by a human. IE: Radar hacks or simply an intelligent player playing with wallhacks. As the generations go by, less and less young players want to put the time in to improve and therefore choose to cheat instead.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","For players that are using a non-detectable version of a cheat, often watching their ability to avoid certain interactions or perfectly time an interaction is key to catching them. Further, unnatural rotations when outplayed that make absolutely no sense but are in fact, the perfect counter to a move. Another indication is when they do very well with no one spectating them and very badly with people spectating them, indicating a toggle of assistance. ",Please figure this shit out as the game is dying and is only going to get worse.
2025/04/16 3:00:19 pm EET,20.0,2000,17000.0,No,,,,,,,,Yes,Yes,Yes,Often,5,It kills the urge to play the game. For players this is a problem.,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,I think they should bring it back but with higher rewards for the viewers,"Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",I check how much he can know. Normaly you can surprise every player but if the suspect can't be surprised and knows every location. That is fishy. And on top of that I look if he clears every angle or only spots where an enemy is. ,
2025/04/16 3:38:18 pm EET,10.0,10000,25000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,Poor anticheat. Poor player mentality,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Mostly looking for differences in how well they do at different tasks. If their aim is totally insane but they move around the map like a beginner and don't seem to understand how the game works then that is weird,
2025/04/16 3:42:14 pm EET,9.5,3700,17200.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,The anti-cheat does not work properly and it seems Valve does not care about the problem.,,"Yes, I have reviewed cases and/or watched my own demos",No,No,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.);Reaction to sound","Looked how the player played, how the team was moving on the map and how the enemy moved. That would give me a hint of what to predict of the player and then to determine if he was cheating I would look at his crosshair placement and playstyle. If it would not match the skill level of everyone else I would most likely have a feeling that something is helping the player.",GL on the master thesis. Sounds like a super interesting topic and would love to read the finished product.
2025/04/16 3:43:27 pm EET,12.0,4000,2450.0,Yes,Back when I was young in 1.6. Think it was called KZH or something.,0.0,Trigger hack;Wall hack,Fun,Yes,Assistance outside what the game provides.,,Yes,Yes,No,Occasionally,3,"Happens too often, ruining the experience.",,"Yes, but i never reviewed a case nor watched my own demos",,,,,,
2025/04/16 3:48:42 pm EET,13.0,3000,17000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,"The amount of cheaters has caused people to automatically assume everyone is cheating, so often times teammates will give up on a match after losing one round.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Maybe,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","The most typical cheat is some form of ESP, so I look for unnatural angle clears, or players unnaturally focusing on specific angles while ignoring others.",
2025/04/16 3:52:14 pm EET,2.0,600,8000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,2,Harmful to game integrity. Harmful to game image.,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 3:52:31 pm EET,20.0,9000,17000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,"Ruins the fun for clean players.
",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Spinbotters etc. are easy to detect.
Wallhackers with 100% awareness, not checking any other positions. Always perfect timing while flanking or peeking ",
2025/04/16 3:52:43 pm EET,8.0,4000,24999.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,Yes,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,People can lie in these tests
2025/04/16 4:01:42 pm EET,5.0,807,9000.0,No,,,,,,,,Yes,Yes,Yes,Always (100% of the time),5,"Unfair game, low skill players using cheats as a crutch while us legit players suffer.",,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","No gamesense, no acting skills, suspicious steam profile with low, no, or recent badges only","Thanks for covering this topic, hopefully it comes with a meaningful outcome."
2025/04/16 4:03:06 pm EET,8.0,5300,17100.0,No,,,,,,,,Yes,Yes,Yes,Often,5,"It happens so often and so blatant, cheaters do not have to fear consequences. You cant trust anyone anymore",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 4:16:15 pm EET,10.0,2000,13000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 4:17:35 pm EET,6.0,300,10000.0,No,,,,,,,,Yes,No,Yes,Occasionally,4,It ruins the game,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,Good luck with your thesis
2025/04/16 4:18:44 pm EET,20.0,10000,26000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,If Valve wants a competitive game with a premier leaderboard cheats ruin it. I shouldn't have to play on a 3rd party site like faceit to not face cheaters,,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Aim hacks are easy to spot. Walling is harder but it depends on the skill of the cheater if they're just walling or radar hacking. Generally high level players play somewhat similar and make choices based on information of the other teams positions.. cheaters generally struggle to hide that they shouldn't have known someone was in an area and hold what would be a bad angle just to secure that one kill. Having them do this over and over is general fishy behavior that would make me suspect cheating or watch the demo for proof or just see if they were getting lucky with natural rotations for where their teammates are playing.,
2025/04/16 4:35:42 pm EET,7.0,2400,5000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,It ducks,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,No,,"Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 4:41:55 pm EET,4.0,4000,8000.0,Yes,"Aimware, Iniuria, X22, Blanc.cc, RedEyeCheats",10.0,Aim hack;Wall hack;Grenade projectory preview,"Playing as a closet cheater to assist in winning slightly, due to CS’s insane skill ceiling ",Yes,Mild aim assist and wallhacks provided an advantage ,It made the game fun to play again,Yes,Yes,Yes,Sometimes  (50% of the time),5,"30-40% of games have cheaters, usually closet using non-blatant cheats making it very hard to play legit ",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,"It was stopped due to people abusing the system, but it is needed in Cs2",Predictive playstyle,"Auto pistol, holding angles where you are for too long when they should have moved, scout/deagle",
2025/04/16 4:56:34 pm EET,7.0,500,11000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,4,"Why is this even a question bruh?? Because they obviously ruin the game for everyone, 0 enjoyment",,"No, I did not have access to overwatch, but i have reviewed my own demos",,,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Unntural positioning","Constantly getting perfect timings, only checking spots when someone is in them, bad economy, exceptional ""gamesense"" that doesn't match elo",
2025/04/16 5:16:32 pm EET,9.0,2000,,Yes,Memesense,5.0,Aim hack;Trigger hack;Wall hack,Splendid,Yes,Gives unfair advantage,Fuck that. it's boring as shit that's why I never resubscribed. Legit game better,Yes,Yes,No,Occasionally,4,I love gaining rank on competitive office or Italy but whenever there's cheater I have a high chance of losing and it sucks,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,Cheating is morally okay against people without prime these poorons don't deserve to play a fair game for free XD
2025/04/16 5:46:18 pm EET,4.0,1250,12000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,There is no antie cheat to even stop the easiest to detector cheats that is why the cheaters have the balls to continu,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 5:53:34 pm EET,14.0,4500,17000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,"It removes the ability to trust the people/the game. Sometimes people do have a good day. As it currently is, noone belives anyone is just having a good day/hitting some insane shots. It is always assumed ppl are cheating",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Getting consistenly lucky. If to many actions are technicaly not impossible but they align through the whole game.,"If you start to actually train a ML model, make it open source as part of your thesis. There are probably a lot of AI researches in the CS community willing to participate in development. Maybe a community project can actually change something for the better"
2025/04/16 6:07:08 pm EET,8.0,4200,23000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,"Even if there is a smaller amount of cheaters, it messes with my mind and i start questioning every death and every round. Turns out after watching demo they are just good, but it ruined my experience. ",,"Yes, I have reviewed cases and/or watched my own demos",No,Yes,It was not as productive as it might seem. Cheaters knew more about the overwatch system than legit players.,Impossible reads/impossible aim. Anyone else probably just got lucky,,
2025/04/16 6:31:03 pm EET,11.0,19000,20000.0,No,,,,,,,,Yes,No,Yes,Occasionally,3,"Cheating is just as it is, the survivor bias of people post about cheaters vs people who post regular games. no one cares to see a regular game yet everyone flock and cry cheater because the only thing they see online are cheater posts.",,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Predictive playstyle;Unnatural crossair movement;Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",The awareness of the play. How confident. Common playstyles. ,I want to stay anonymous 
2025/04/16 6:31:42 pm EET,0.1,47,0.0,No,,,,,,,,No,Yes,No,Occasionally,2,because cheaters ruin the fun for the normal players in counter strike ,,"No, I did not have access to overwatch, and i have never reviewed a case",,,,,,
2025/04/16 6:41:34 pm EET,9.0,8000,27000.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,"Cheating is a problem because valve simply does not care, cs is their passive money making machine.",,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,"As valve makes millions from just cases monthly, perhaps they can hire dedicated overwatch team but that would not be in valves best interest ","Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","A noob cheater or one that does not know to hide his/her cheats will normally not clear any angles  or jiggle peek, rather they aim at their target through the wall and keep their aim there. However, a skilled cheater who’s only walling can be very hard to judge, especially if they have some raw aim skills to go along with their cheats. Judging from just 1 kill or 1 round whether or not someone is cheating can be very hard and so a significant part of the demo must be viewed in order to make judgement.",No
2025/04/16 7:21:44 pm EET,7.0,3500,13000.0,No,,,,,,,,No,Yes,Yes,Never (0% of the time),3,"The frequency of finding cheaters scalates pretty quickly on the upper ranks, ruining the gameplay experiencie for higher rated people.",,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Yes,,Unnatural crossair movement,"Crosshair placement is the biggest giveaway for people cheating. If they are walling they often can't help to look at the people behind walls, and if they're using aim assists it makes it obvious when you compare their ability to aim vs their ability to do everything else.",
2025/04/16 7:26:42 pm EET,21.0,3500,16000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,3,It contributes to antisocial behavior in other people and the community more broadly.,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Maybe,"Overwatch access should have been more exclusive; I want to say I had access to it at a high GN rank. There were several cases I reviewed where I did not have sufficient expertise to judge the suspect. I usually erred on the side of innocence, but others I was friends with at the time would vote to convict, even in cases where the evidence was not very compelling.

The skins economy also made the cost of incorrect overwatch judgements very high. I can see why Valve would discontinue the program on that basis alone.","Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)","Unlike GO, I have maybe 500 hours in CS2 and have yet to see a spinbotter at my elo. 

Anecdotally, ESP related cheats appear to be the most common at the moment. Watching players track objects through walls, pushing against low HP players or players who are lining up grenades, consistently gamble stacking a site perfectly at the beginning of a round or abruptly changing sites mid-round, and pre-firing, especially when the opposing playing is jiggling a corner but has not exposed themselves yet.",Good luck with your research! 😃
2025/04/16 7:28:31 pm EET,8.0,2500,14000.0,No,,,,,,,,Yes,Yes,Yes,Occasionally,5,Really?,,"Yes, I have reviewed cases and/or watched my own demos",Yes,Yes,,"Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",,
2025/04/16 7:41:33 pm EET,2.0,500,0.0,No,,,,,,,,Yes,Yes,Yes,Sometimes  (50% of the time),5,Hacks,,"Yes, I have reviewed cases and/or watched my own demos",Maybe,Maybe,,"Predictive playstyle;Unnatural crossair movement;Unnatural movement (bunny hopping, spinbotting, etc.);Skill gaps in different areas of play (aim, movement, awareness, timings, etc.)",Because I know how to play the game ,
